ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
AHC   ,EQY,AUSTCO HEALTHCARE LIMITED                                   ,ORDINARY            ,0.17,20230630
AHF   ,EQY,AUSTRALIAN DAIRY NUTRITIONALS LIMITED                       ,ORDINARY            ,0.021,20230630
AHI   ,EQY,ADVANCED HEALTH INTELLIGENCE LTD                            ,ORDINARY            ,0.21,20230630
AHK   ,EQY,ARK MINES LIMITED                                           ,ORDINARY            ,0.31,20230629
AHL   ,EQY,ADRAD HOLDINGS LIMITED                                      ,ORDINARY            ,0.94,20230630
AHN   ,EQY,ATHENA RESOURCES LIMITED                                    ,ORDINARY            ,0.006,20230630
AHQ   ,EQY,ALLEGIANCE COAL LIMITED                                     ,ORDINARY            ,0.013,20230222
AHX   ,EQY,APIAM ANIMAL HEALTH LIMITED                                 ,ORDINARY            ,0.51,20230630
AIA   ,EQY,AUCKLAND INTERNATIONAL AIRPORT LIMITED                      ,ORD FOR.EXEMPT NZX  ,7.85,20230630
AII   ,EQY,ALMONTY INDUSTRIES INC.                                     ,CDI 1:1             ,0.63,20230630
AIM   ,EQY,AI-MEDIA TECHNOLOGIES LIMITED                               ,ORDINARY            ,0.285,20230630
AIS   ,EQY,AERIS RESOURCES LIMITED                                     ,ORDINARY            ,0.48,20230630
AIV   ,EQY,ACTIVEX LIMITED                                             ,ORDINARY            ,0.017,20230628
AIZ   ,EQY,AIR NEW ZEALAND LIMITED                                     ,ORD FOR. EXEMPT NZX ,0.715,20230630
AJJ   ,EQY,ASIAN AMERICAN MEDICAL GROUP LIMITED                        ,ORDINARY            ,0.038,20211118
AJL   ,EQY,AJ LUCAS GROUP LIMITED                                      ,ORDINARY            ,0.013,20230630
AJQ   ,EQY,ARMOUR ENERGY LIMITED                                       ,ORDINARY            ,0.003,20230630
AJX   ,EQY,ALEXIUM INTERNATIONAL GROUP LIMITED                         ,ORDINARY            ,0.013,20230630
AJY   ,EQY,ASAPLUS RESOURCES LIMITED                                   ,CDI 1:1             ,0.01,20230630
AKE   ,EQY,ALLKEM LIMITED                                              ,ORDINARY            ,16.02,20230630
AKG   ,EQY,ACADEMIES AUSTRALASIA GROUP LIMITED                         ,ORDINARY            ,0.4,20230630
AKM   ,EQY,ASPIRE MINING LIMITED                                       ,ORDINARY            ,0.07,20230630
AKN   ,EQY,AUKING MINING LIMITED                                       ,ORDINARY            ,0.05,20230630
AKO   ,EQY,AKORA RESOURCES LIMITED                                     ,ORDINARY            ,0.17,20230630
AKP   ,EQY,AUDIO PIXELS HOLDINGS LIMITED                               ,ORDINARY            ,12.9,20230630
AL3   ,EQY,AML3D LIMITED                                               ,ORDINARY            ,0.048,20230630
AL8   ,EQY,ALDERAN RESOURCES LIMITED                                   ,ORDINARY            ,0.0065,20230630
ALA   ,EQY,AROVELLA THERAPEUTICS LIMITED                               ,ORDINARY            ,0.05,20230630
ALB   ,EQY,ALBION RESOURCES LIMITED                                    ,ORDINARY            ,0.069,20230629
ALC   ,EQY,ALCIDION GROUP LIMITED                                      ,ORDINARY            ,0.095,20230630
ALD   ,EQY,AMPOL LIMITED                                               ,ORDINARY            ,29.94,20230630
ALG   ,EQY,ARDENT LEISURE GROUP LIMITED                                ,ORDINARY            ,0.45,20230630
ALI   ,EQY,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED                   ,ORDINARY            ,2.27,20230630
ALK   ,EQY,ALKANE RESOURCES LIMITED                                    ,ORDINARY            ,0.705,20230630
ALL   ,EQY,ARISTOCRAT LEISURE LIMITED                                  ,ORDINARY            ,38.66,20230630
ALM   ,EQY,ALMA METALS LIMITED                                         ,CHESS DEPOSITARY INT,0.011,20230630
ALO   ,EQY,ALLOGGIO GROUP LIMITED                                      ,ORDINARY            ,0.23,20230630
ALQ   ,EQY,ALS LIMITED                                                 ,ORDINARY            ,11.16,20230630
ALT   ,EQY,ANALYTICA LIMITED                                           ,ORDINARY            ,0.001,20230228
ALU   ,EQY,ALTIUM LIMITED                                              ,ORDINARY            ,36.92,20230630
ALV   ,EQY,ALVO MINERALS LIMITED                                       ,ORDINARY            ,0.315,20230630
ALX   ,EQY,ATLAS ARTERIA                                               ,FPOSTUSPROHEXCLQUP  ,6.21,20230630
ALY   ,EQY,ALCHEMY RESOURCES LIMITED                                   ,ORDINARY            ,0.016,20230630
AM7   ,EQY,ARCADIA MINERALS LIMITED                                    ,CDI 1:1             ,0.115,20230630
AMA   ,EQY,AMA GROUP LIMITED                                           ,ORDINARY            ,0.1,20230630
AMC   ,EQY,AMCOR PLC                                                   ,CDI1:1FOREXEMPT NYSE,14.86,20230630
AMD   ,EQY,ARROW MINERALS LTD                                          ,ORDINARY            ,0.0035,20230630
AME   ,EQY,ALTO METALS LIMITED                                         ,ORDINARY            ,0.056,20230630
AMH   ,EQY,AMCIL LIMITED                                               ,ORDINARY            ,1.005,20230630
AMI   ,EQY,AURELIA METALS LIMITED                                      ,ORDINARY            ,0.093,20230630
AML   ,EQY,AEON METALS LIMITED.                                        ,ORDINARY            ,0.015,20230630
AMM   ,EQY,ARMADA METALS LIMITED                                       ,ORDINARY            ,0.035,20230630
AMN   ,EQY,AGRIMIN LIMITED                                             ,ORDINARY            ,0.16,20230630
AMO   ,EQY,AMBERTECH LIMITED                                           ,ORDINARY            ,0.23,20230630
AMP   ,EQY,AMP LIMITED                                                 ,ORDINARY            ,1.13,20230630
AMS   ,EQY,ATOMOS LIMITED                                              ,ORDINARY            ,0.065,20230227
AMT   ,EQY,ALLEGRA ORTHOPAEDICS LIMITED                                ,ORDINARY            ,0.055,20230630
AMX   ,EQY,AEROMETREX LIMITED                                          ,ORDINARY            ,0.3,20230630
AN1   ,EQY,ANAGENICS LIMITED                                           ,ORDINARY            ,0.017,20230630
AND   ,EQY,ANSARADA GROUP LIMITED                                      ,ORDINARY            ,0.95,20230630
ANG   ,EQY,AUSTIN ENGINEERING LIMITED                                  ,ORDINARY            ,0.275,20230630
ANL   ,EQY,AMANI GOLD LIMITED                                          ,ORDINARY            ,0.001,20230630
ANN   ,EQY,ANSELL LIMITED                                              ,ORDINARY            ,26.73,20230630
ANO   ,EQY,ADVANCE ZINCTEK LIMITED                                     ,ORDINARY            ,1.77,20230630
ANP   ,EQY,ANTISENSE THERAPEUTICS LIMITED                              ,ORDINARY            ,0.059,20230630
ANR   ,EQY,ANATARA LIFESCIENCES LTD                                    ,ORDINARY            ,0.028,20230630
ANX   ,EQY,ANAX METALS LIMITED                                         ,ORDINARY            ,0.063,20230630
ANZ   ,EQY,ANZ GROUP HOLDINGS LIMITED                                  ,ORDINARY            ,23.71,20230630
AO1   ,EQY,ASSETOWL LIMITED                                            ,ORDINARY            ,0.001,20230630
AOA   ,EQY,AUSMON RESOURCES LIMITED                                    ,ORDINARY            ,0.0035,20230630
AON   ,EQY,APOLLO MINERALS LIMITED                                     ,ORDINARY            ,0.033,20230630
APC   ,EQY,AUSTRALIAN POTASH LIMITED                                   ,ORDINARY            ,0.009,20230630
APE   ,EQY,EAGERS AUTOMOTIVE LIMITED                                   ,ORDINARY            ,13.49,20230630
APL   ,EQY,ASSOCIATE GLOBAL PARTNERS LIMITED                           ,ORDINARY            ,0.3,20230615
APM   ,EQY,APM HUMAN SERVICES INTERNATIONAL LIMITED                    ,ORDINARY            ,2.12,20230630
APS   ,EQY,ALLUP SILICA LIMITED                                        ,ORDINARY            ,0.063,20230630
APX   ,EQY,APPEN LIMITED                                               ,ORDINARY            ,2.39,20230630
AQC   ,EQY,AUSTRALIAN PACIFIC COAL LIMITED                             ,ORDINARY            ,0.13,20230630
AQD   ,EQY,AUSQUEST LIMITED                                            ,ORDINARY            ,0.015,20230630
AQI   ,EQY,ALICANTO MINERALS LIMITED                                   ,ORDINARY            ,0.035,20230630
AQN   ,EQY,AQUIRIAN LIMITED                                            ,ORDINARY            ,0.175,20230630
AQS   ,EQY,AQUIS ENTERTAINMENT LIMITED                                 ,ORDINARY            ,0.175,20230628
AQX   ,EQY,ALICE QUEEN LIMITED                                         ,ORDINARY            ,0.001,20230629
AQZ   ,EQY,ALLIANCE AVIATION SERVICES LIMITED                          ,ORDINARY            ,2.88,20230630
AR1   ,EQY,AUSTRAL RESOURCES AUSTRALIA LTD                             ,ORDINARY            ,0.2,20230630
AR3   ,EQY,AUSTRALIAN RARE EARTHS LIMITED                              ,ORDINARY            ,0.31,20230630
AR9   ,EQY,ARCHTIS LIMITED                                             ,ORDINARY            ,0.082,20230630
ARA   ,EQY,ARIADNE AUSTRALIA LIMITED                                   ,ORDINARY            ,0.58,20230630
ARB   ,EQY,ARB CORPORATION LIMITED.                                    ,ORDINARY            ,28.6,20230630
ARC   ,EQY,ARC FUNDS LIMITED                                           ,ORDINARY            ,0.24,20230630
ARD   ,EQY,ARGENT MINERALS LIMITED                                     ,ORDINARY            ,0.01,20230630
ARE   ,EQY,ARGONAUT RESOURCES NL                                       ,ORDINARY            ,0.001,20230628
ARG   ,EQY,ARGO INVESTMENTS LIMITED                                    ,ORDINARY            ,8.76,20230630
ARL   ,EQY,ARDEA RESOURCES LIMITED                                     ,ORDINARY            ,0.355,20230630
ARN   ,EQY,ALDORO RESOURCES LIMITED                                    ,ORDINARY            ,0.105,20230630
ARO   ,EQY,ASTRO RESOURCES NL                                          ,ORDINARY            ,0.05,20230630
ARR   ,EQY,AMERICAN RARE EARTHS LIMITED                                ,ORDINARY            ,0.145,20230630
