ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
TYR   ,EQY,TYRO PAYMENTS LIMITED                                       ,ORDINARY            ,1.14,20230630
TYX   ,EQY,TYRANNA RESOURCES LIMITED                                   ,ORDINARY            ,0.019,20230630
TZL   ,EQY,TZ LIMITED                                                  ,ORDINARY            ,0.026,20230630
TZN   ,EQY,TERRAMIN AUSTRALIA LIMITED.                                 ,ORDINARY            ,0.023,20230630
UBI   ,EQY,UNIVERSAL BIOSENSORS INC.                                   ,CDI 1:1             ,0.26,20230630
UBN   ,EQY,URBANISE.COM LIMITED                                        ,ORDINARY            ,0.555,20230629
UCM   ,EQY,USCOM LIMITED                                               ,ORDINARY            ,0.046,20230620
UMG   ,EQY,UNITED MALT GROUP LIMITED                                   ,ORDINARY            ,4.4,20230630
UNI   ,EQY,UNIVERSAL STORE HOLDINGS LIMITED                            ,ORDINARY            ,2.98,20230630
UNT   ,EQY,UNITH LTD                                                   ,ORDINARY            ,0.031,20230630
UOS   ,EQY,UNITED OVERSEAS AUSTRALIA LIMITED                           ,ORDINARY            ,0.55,20230630
URW   ,EQY,UNIBAIL-RODAMCO-WESTFIELD                                   ,CDI 20:1            ,3.85,20230630
USL   ,EQY,UNICO SILVER LIMITED                                        ,ORDINARY            ,0.105,20230630
UUL   ,EQY,ULTIMA UNITED LIMITED                                       ,ORDINARY            ,0.08,20220930
UVA   ,EQY,UVRE LIMITED                                                ,ORDINARY            ,0.115,20230628
VAL   ,EQY,VALOR RESOURCES LIMITED                                     ,ORDINARY            ,0.003,20230630
VAR   ,EQY,VARISCAN MINES LIMITED                                      ,ORDINARY            ,0.012,20230630
VBC   ,EQY,VERBREC LIMITED                                             ,ORDINARY            ,0.11,20230628
VBS   ,EQY,VECTUS BIOSYSTEMS LIMITED                                   ,ORDINARY            ,0.44,20230630
VEA   ,EQY,VIVA ENERGY GROUP LIMITED                                   ,ORDINARY            ,3.01,20230630
VEE   ,EQY,VEEM LTD                                                    ,ORDINARY            ,0.4,20230630
VEN   ,EQY,VINTAGE ENERGY LTD                                          ,ORDINARY            ,0.054,20230630
VG1   ,EQY,VGI PARTNERS GLOBAL INVESTMENTS LIMITED                     ,ORDINARY            ,1.625,20230630
VGL   ,EQY,VISTA GROUP INTERNATIONAL LIMITED.                          ,ORD FOR. EXEMPT NZX ,1.59,20230630
VHM   ,EQY,VHM LIMITED                                                 ,ORDINARY            ,0.63,20230630
VHT   ,EQY,VOLPARA HEALTH TECHNOLOGIES LIMITED                         ,ORDINARY            ,0.75,20230630
VIA   ,EQY,VIAGOLD RARE EARTH RESOURCES HOLDINGS LIMITED               ,ORDINARY            ,2,20211012
VIG   ,EQY,VICTOR GROUP HOLDINGS LIMITED                               ,ORDINARY            ,0.03,20230103
VIP   ,EQY,VIP GLOVES LTD                                              ,ORDINARY            ,0.003,20230131
VIT   ,EQY,VITURA HEALTH LIMITED                                       ,ORDINARY            ,0.515,20230630
VKA   ,EQY,VIKING MINES LIMITED                                        ,ORDINARY            ,0.01,20230630
VLS   ,EQY,VITA LIFE SCIENCES LIMITED..                                ,ORDINARY            ,1.56,20230630
VMC   ,EQY,VENUS METALS CORPORATION LIMITED                            ,ORDINARY            ,0.19,20230630
VMG   ,EQY,VDM GROUP LIMITED                                           ,ORDINARY            ,0.001,20230420
VML   ,EQY,VITAL METALS LIMITED                                        ,ORDINARY            ,0.009,20230630
VMM   ,EQY,VIRIDIS MINING AND MINERALS LIMITED                         ,ORDINARY            ,0.22,20230630
VMS   ,EQY,VENTURE MINERALS LIMITED                                    ,ORDINARY            ,0.014,20230630
VMT   ,EQY,VMOTO LIMITED                                               ,ORDINARY            ,0.25,20230630
VN8   ,EQY,VONEX LIMITED..                                             ,ORDINARY            ,0.03,20230630
VNT   ,EQY,VENTIA SERVICES GROUP LIMITED                               ,ORDINARY            ,3.03,20230630
VOL   ,EQY,VICTORY OFFICES LIMITED                                     ,ORDINARY            ,0.042,20221108
VPR   ,EQY,VOLT POWER GROUP LIMITED                                    ,ORDINARY            ,0.001,20230629
VR1   ,EQY,VECTION TECHNOLOGIES LTD                                    ,ORDINARY            ,0.042,20230630
VR8   ,EQY,VANADIUM RESOURCES LIMITED                                  ,ORDINARY            ,0.074,20230630
VRC   ,EQY,VOLT RESOURCES LIMITED                                      ,ORDINARY            ,0.01,20230630
VRS   ,EQY,VERIS LIMITED                                               ,ORDINARY            ,0.081,20230630
VRX   ,EQY,VRX SILICA LIMITED                                          ,ORDINARY            ,0.125,20230630
VSL   ,EQY,VULCAN STEEL LIMITED                                        ,ORDINARY            ,8.22,20230630
VSR   ,EQY,VOLTAIC STRATEGIC RESOURCES LTD                             ,ORDINARY            ,0.089,20230630
VTI   ,EQY,VISIONEERING TECHNOLOGIES INC.                              ,CDI 1:1 USPROHIBITED,0.25,20230630
VTM   ,EQY,VICTORY METALS LIMITED                                      ,ORDINARY            ,0.25,20230630
VTX   ,EQY,VERTEX MINERALS LIMITED                                     ,ORDINARY            ,0.095,20230630
VUK   ,EQY,VIRGIN MONEY UK PLC                                         ,CDI 1:1FOREXEMPT LSE,2.85,20230630
VUL   ,EQY,VULCAN ENERGY RESOURCES LIMITED                             ,ORDINARY            ,4.19,20230630
VVA   ,EQY,VIVA LEISURE LIMITED                                        ,ORDINARY            ,1.27,20230630
VYS   ,EQY,VYSARN LIMITED                                              ,ORDINARY            ,0.15,20230630
W2V   ,EQY,WAY 2 VAT LTD.                                              ,ORDINARY            ,0.011,20230630
WA1   ,EQY,WA1 RESOURCES LTD                                           ,ORDINARY            ,5.8,20230630
WA8   ,EQY,WARRIEDAR RESOURCES LIMITED                                 ,ORDINARY            ,0.081,20230630
WAA   ,EQY,WAM ACTIVE LIMITED                                          ,ORDINARY            ,0.665,20230630
WAF   ,EQY,WEST AFRICAN RESOURCES LIMITED                              ,ORDINARY            ,0.865,20230630
WAK   ,EQY,WA KAOLIN LIMITED                                           ,ORDINARY            ,0.13,20230630
WAM   ,EQY,WAM CAPITAL LIMITED                                         ,ORDINARY            ,1.495,20230630
WAR   ,EQY,WAM STRATEGIC VALUE LIMITED                                 ,ORDINARY            ,0.975,20230630
WAT   ,EQY,WATERCO LIMITED                                             ,ORDINARY            ,4,20230628
WAX   ,EQY,WAM RESEARCH LIMITED                                        ,ORDINARY            ,1.06,20230630
WBC   ,EQY,WESTPAC BANKING CORPORATION                                 ,ORDINARY            ,21.34,20230630
WBE   ,EQY,WHITEBARK ENERGY LTD                                        ,ORDINARY            ,0.001,20230630
WBT   ,EQY,WEEBIT NANO LTD                                             ,ORDINARY            ,5.07,20230630
WC1   ,EQY,WEST COBAR METALS LIMITED                                   ,ORDINARY            ,0.09,20230630
WC8   ,EQY,WILDCAT RESOURCES LIMITED                                   ,ORDINARY            ,0.12,20230630
WCG   ,EQY,WEBCENTRAL LTD                                              ,ORDINARY            ,0.125,20230630
WCN   ,EQY,WHITE CLIFF MINERALS LIMITED                                ,ORDINARY            ,0.007,20230630
WDS   ,EQY,WOODSIDE ENERGY GROUP LTD                                   ,ORDINARY            ,34.44,20230630
WEB   ,EQY,WEBJET LIMITED                                              ,ORDINARY            ,6.91,20230630
WEC   ,EQY,WHITE ENERGY COMPANY LIMITED                                ,ORDINARY            ,0.083,20230630
WEL   ,EQY,WINCHESTER ENERGY LTD                                       ,ORDINARY            ,0.002,20230630
WES   ,EQY,WESFARMERS LIMITED                                          ,ORDINARY            ,49.34,20230630
WFL   ,EQY,WELLFULLY LIMITED                                           ,ORDINARY            ,0.003,20230630
WGB   ,EQY,WAM GLOBAL LIMITED                                          ,ORDINARY            ,1.855,20230630
WGN   ,EQY,WAGNERS HOLDING COMPANY LIMITED                             ,ORDINARY            ,0.8,20230630
WGR   ,EQY,WESTERN GOLD RESOURCES LIMITED.                             ,ORDINARY            ,0.038,20230623
WGX   ,EQY,WESTGOLD RESOURCES LIMITED.                                 ,ORDINARY            ,1.44,20230630
WHC   ,EQY,WHITEHAVEN COAL LIMITED                                     ,ORDINARY            ,6.71,20230630
WHF   ,EQY,WHITEFIELD INDUSTRIALS LIMITED                              ,ORDINARY            ,5.15,20230630
WHK   ,EQY,WHITEHAWK LIMITED                                           ,ORDINARY            ,0.032,20230630
WIA   ,EQY,WIA GOLD LIMITED                                            ,ORDINARY            ,0.035,20230630
WIN   ,EQY,WIDGIE NICKEL LIMITED                                       ,ORDINARY            ,0.22,20230630
WKT   ,EQY,WALKABOUT RESOURCES LTD                                     ,ORDINARY            ,0.097,20230630
WLD   ,EQY,WELLARD LIMITED                                             ,ORDINARY            ,0.042,20230630
WLE   ,EQY,WAM LEADERS LIMITED                                         ,ORDINARY            ,1.455,20230630
WMA   ,EQY,WAM ALTERNATIVE ASSETS LIMITED                              ,ORDINARY            ,1.015,20230630
WMC   ,EQY,WILUNA MINING CORPORATION LIMITED.                          ,ORDINARY            ,0.205,20220719
WMG   ,EQY,WESTERN MINES GROUP LTD                                     ,ORDINARY            ,0.465,20230630
WMI   ,EQY,WAM MICROCAP LIMITED                                        ,ORDINARY            ,1.41,20230630
WML   ,EQY,WOOMERA MINING LIMITED                                      ,ORDINARY            ,0.014,20230630
WNR   ,EQY,WINGARA AG LTD                                              ,ORDINARY            ,0.025,20230630
WNX   ,EQY,WELLNEX LIFE LIMITED                                        ,ORDINARY            ,0.053,20230517
WOA   ,EQY,WIDE OPEN AGRICULTURE LTD                                   ,ORDINARY            ,0.325,20230419
WOR   ,EQY,WORLEY LIMITED                                              ,ORDINARY            ,15.79,20230630
WOW   ,EQY,WOOLWORTHS GROUP LIMITED                                    ,ORDINARY            ,39.73,20230630
WQG   ,EQY,WCM GLOBAL GROWTH LIMITED                                   ,ORDINARY            ,1.195,20230630
WR1   ,EQY,WINSOME RESOURCES LIMITED                                   ,ORDINARY            ,1.63,20230630
WRK   ,EQY,WRKR LTD                                                    ,ORDINARY            ,0.019,20230630
WRM   ,EQY,WHITE ROCK MINERALS LIMITED                                 ,ORDINARY            ,0.063,20230315
WSI   ,EQY,WESTSTAR INDUSTRIAL LIMITED                                 ,ORDINARY            ,0.215,20230629
WSP   ,EQY,WHISPIR LIMITED                                             ,ORDINARY            ,0.24,20230630
WSR   ,EQY,WESTAR RESOURCES LIMITED                                    ,ORDINARY            ,0.054,20230630
WTC   ,EQY,WISETECH GLOBAL LIMITED                                     ,ORDINARY            ,79.81,20230630
WTL   ,EQY,WT FINANCIAL GROUP LIMITED                                  ,ORDINARY            ,0.079,20230630
WTN   ,EQY,WINTON LAND LIMITED                                         ,ORD FOR. EXEMPT NZX ,1.91,20230622
WWG   ,EQY,WISEWAY GROUP LIMITED                                       ,ORDINARY            ,0.052,20230628
WWI   ,EQY,WEST WITS MINING LIMITED                                    ,ORDINARY            ,0.012,20230630
WYX   ,EQY,WESTERN YILGARN NL                                          ,ORDINARY            ,0.13,20230630
WZR   ,EQY,WISR LIMITED                                                ,ORDINARY            ,0.036,20230630
X2M   ,EQY,X2M CONNECT LIMITED                                         ,ORDINARY            ,0.058,20230629
X64   ,EQY,TEN SIXTY FOUR LIMITED                                      ,ORDINARY            ,0.57,20230223
XAM   ,EQY,XANADU MINES LTD                                            ,ORDINARY            ,0.081,20230630
XF1   ,EQY,XREF LIMITED                                                ,ORDINARY            ,0.17,20230630
XGL   ,EQY,XAMBLE GROUP LIMITED                                        ,CDI 1:1             ,0.035,20230630
XPN   ,EQY,XPON TECHNOLOGIES GROUP LIMITED                             ,ORDINARY            ,0.051,20230630
XRF   ,EQY,XRF SCIENTIFIC LIMITED                                      ,ORDINARY            ,1.17,20230630
XRG   ,EQY,XREALITY GROUP LTD                                          ,ORDINARY            ,0.049,20230630
XRO   ,EQY,XERO LIMITED                                                ,ORDINARY            ,118.93,20230630
XST   ,EQY,XSTATE RESOURCES LIMITED                                    ,ORDINARY            ,0.009,20230630
XTC   ,EQY,XANTIPPE RESOURCES LIMITED                                  ,ORDINARY            ,0.002,20230630
XTE   ,EQY,XTEK LIMITED.                                               ,ORDINARY            ,0.43,20230630
YAL   ,EQY,YANCOAL AUSTRALIA LIMITED                                   ,ORDINARY            ,4.58,20230630
YAR   ,EQY,YARI MINERALS LIMITED                                       ,ORDINARY            ,0.014,20230630
YBR   ,EQY,YELLOW BRICK ROAD HOLDINGS LIMITED                          ,ORDINARY            ,0.06,20230630
YOJ   ,EQY,YOJEE LIMITED                                               ,ORDINARY            ,0.016,20230630
YOW   ,EQY,YOWIE GROUP LTD                                             ,ORDINARY            ,0.026,20230630
YPB   ,EQY,YPB GROUP LTD                                               ,ORDINARY            ,0.003,20230630
YRL   ,EQY,YANDAL RESOURCES LIMITED                                    ,ORDINARY            ,0.054,20230630
Z2U   ,EQY,ZOOM2U TECHNOLOGIES LIMITED                                 ,ORDINARY            ,0.053,20230630
ZAG   ,EQY,ZULEIKA GOLD LIMITED                                        ,ORDINARY            ,0.013,20230630
ZEO   ,EQY,ZEOTECH LIMITED                                             ,ORDINARY            ,0.045,20230630
ZER   ,EQY,ZETA RESOURCES LIMITED                                      ,ORDINARY            ,0.305,20230630
ZEU   ,EQY,ZEUS RESOURCES LIMITED                                      ,ORDINARY            ,0.034,20230630
ZGL   ,EQY,ZICOM GROUP LIMITED                                         ,ORDINARY            ,0.045,20230626
ZIM   ,EQY,ZIMPLATS HOLDINGS LIMITED                                   ,ORDINARY            ,23.42,20230630
ZIP   ,EQY,ZIP CO LIMITED..                                            ,ORDINARY            ,0.41,20230630
ZLD   ,EQY,ZELIRA THERAPEUTICS LIMITED                                 ,ORDINARY            ,1.51,20230630
ZMI   ,EQY,ZINC OF IRELAND NL                                          ,ORDINARY            ,0.02,20230630
ZMM   ,EQY,ZIMI LIMITED                                                ,ORDINARY            ,0.031,20230630
ZNC   ,EQY,ZENITH MINERALS LIMITED                                     ,ORDINARY            ,0.09,20230630
ZNO   ,EQY,ZOONO GROUP LIMITED                                         ,ORDINARY            ,0.038,20230630
ABP   ,EQY,ABACUS PROPERTY GROUP                                       ,FPO/UNITS STAPLED   ,2.69,20230630
AIB   ,EQY,AURORA GLOBAL INCOME TRUST                                  ,ORDINARY UNITS      ,0.1,20220930
AIQ   ,EQY,ALTERNATIVE INVESTMENT TRUST                                ,ORDINARY UNITS      ,1.335,20230627
AOF   ,EQY,AUSTRALIAN UNITY OFFICE FUND                                ,ORDINARY            ,1.305,20230630
APA   ,EQY,APA GROUP                                                   ,UNITS STAPLED       ,9.69,20230630
APW   ,EQY,AIMS PROPERTY SECURITIES FUND                               ,UNITS               ,1.22,20230630
APZ   ,EQY,ASPEN GROUP                                                 ,FPO/UNITS STAPLED   ,1.75,20230630
ARF   ,EQY,ARENA REIT.                                                 ,FPO/UNITS STAPLED   ,3.76,20230630
BWP   ,EQY,BWP TRUST                                                   ,ORDINARY UNITS      ,3.63,20230630
CD1   ,EQY,CD PRIVATE EQUITY FUND I                                    ,ORDINARY UNITS      ,0.825,20230630
CD2   ,EQY,CD PRIVATE EQUITY FUND II                                   ,ORDINARY UNITS      ,1.22,20230630
CD3   ,EQY,CD PRIVATE EQUITY FUND III                                  ,ORDINARY UNITS      ,1.5,20230630
CDP   ,EQY,CARINDALE PROPERTY TRUST                                    ,UNIT                ,4.08,20230630
CHC   ,EQY,CHARTER HALL GROUP                                          ,STAPLED US PROHIBIT.,10.71,20230630
CIP   ,EQY,CENTURIA INDUSTRIAL REIT                                    ,ORDINARY UNITS      ,3.1,20230630
CLW   ,EQY,CHARTER HALL LONG WALE REIT                                 ,UNITS STAPLED       ,4.01,20230630
CMW   ,EQY,CROMWELL PROPERTY GROUP                                     ,FPO/UNITS STAPLED   ,0.535,20230630
CNI   ,EQY,CENTURIA CAPITAL GROUP                                      ,FPO/UNITS STAPLED   ,1.65,20230630
COF   ,EQY,CENTURIA OFFICE REIT                                        ,ORDINARY UNITS      ,1.37,20230630
CQE   ,EQY,CHARTER HALL SOCIAL INFRASTRUCTURE REIT                     ,UNITS               ,2.94,20230630
CQR   ,EQY,CHARTER HALL RETAIL REIT                                    ,UNITS               ,3.61,20230630
DBI   ,EQY,DALRYMPLE BAY INFRASTRUCTURE LIMITED                        ,FPO/NOTES STAPLED   ,2.64,20230630
DXC   ,EQY,DEXUS CONVENIENCE RETAIL REIT                               ,UNITS STAPLED       ,2.56,20230630
DXI   ,EQY,DEXUS INDUSTRIA REIT.                                       ,FPO/UNITS STAPLED   ,2.58,20230630
DXS   ,EQY,DEXUS                                                       ,UNITS STAPLED       ,7.8,20230630
ECF   ,EQY,ELANOR COMMERCIAL PROPERTY FUND                             ,UNITS STAPLED       ,0.875,20230630
EDC   ,EQY,EILDON CAPITAL GROUP                                        ,FPO/UNITS STAPLED   ,0.915,20230630
ENN   ,EQY,ELANOR INVESTORS GROUP                                      ,FPO/UNITS STAPLED   ,1.625,20230630
FOR   ,EQY,FORAGER AUSTRALIAN SHARES FUND                              ,ORDINARY UNITS      ,1.21,20230630
FPP   ,EQY,FAT PROPHETS GLOBAL PROPERTY FUND                           ,ORDINARY UNITS      ,0.7,20230630
FSF   ,EQY,FONTERRA SHAREHOLDERS' FUND                                 ,UNIT FOR EXEMPT NZX ,3.17,20230630
GCI   ,EQY,GRYPHON CAPITAL INCOME TRUST                                ,ORDINARY UNITS      ,1.92,20230630
GDC   ,EQY,GLOBAL DATA CENTRE GROUP                                    ,UNITS STAPLED       ,1.65,20230630
GDF   ,EQY,GARDA PROPERTY GROUP                                        ,FPO/UNITS STAPLED   ,1.3,20230630
GDI   ,EQY,GDI PROPERTY GROUP                                          ,FPO/UNITS STAPLED   ,0.645,20230630
GMG   ,EQY,GOODMAN GROUP                                               ,FPO/UNITS STAPLED   ,20.07,20230630
GOZ   ,EQY,GROWTHPOINT PROPERTIES AUSTRALIA                            ,FPO/UNITS STAPLED   ,2.79,20230630
GPT   ,EQY,GPT GROUP                                                   ,FPO/UNITS STAPLED   ,4.14,20230630
HCW   ,EQY,HEALTHCO HEALTHCARE AND WELLNESS REIT                       ,ORDINARY UNITS      ,1.315,20230630
HDN   ,EQY,HOMECO DAILY NEEDS REIT                                     ,ORDINARY UNITS      ,1.175,20230630
HPI   ,EQY,HOTEL PROPERTY INVESTMENTS                                  ,FPO/UNITS STAPLED   ,3.14,20230630
INA   ,EQY,INGENIA COMMUNITIES GROUP                                   ,FPO/UNITS STAPLED   ,3.98,20230630
KKC   ,EQY,KKR CREDIT INCOME FUND                                      ,ORDINARY UNITS      ,1.92,20230630
LFG   ,EQY,LIBERTY FINANCIAL GROUP                                     ,FPO/UNITS STAPLED   ,3.63,20230630
LLC   ,EQY,LENDLEASE GROUP                                             ,FPO/UNITS STAPLED   ,7.75,20230630
LRT   ,EQY,LOWELL RESOURCES FUND                                       ,ORDINARY UNITS      ,1.25,20230630
MGF   ,EQY,MAGELLAN GLOBAL FUND.                                       ,CLOSED CLASS        ,1.65,20230630
MGR   ,EQY,MIRVAC GROUP                                                ,FPO/UNITS STAPLED   ,2.26,20230630
MOT   ,EQY,METRICS INCOME OPPORTUNITIES TRUST                          ,ORDINARY UNITS      ,2,20230630
MXT   ,EQY,METRICS MASTER INCOME TRUST                                 ,ORDINARY UNITS      ,1.92,20230630
NBI   ,EQY,NB GLOBAL CORPORATE INCOME TRUST                            ,ORDINARY UNITS      ,1.365,20230630
NPR   ,EQY,NEWMARK PROPERTY REIT                                       ,UNITS STAPLED       ,1.295,20230630
NSR   ,EQY,NATIONAL STORAGE REIT                                       ,FPO/UNITS STAPLED   ,2.35,20230630
OPH   ,EQY,OPHIR HIGH CONVICTION FUND                                  ,ORDINARY UNITS      ,2.42,20230630
PCI   ,EQY,PERPETUAL CREDIT INCOME TRUST                               ,ORDINARY UNITS      ,0.965,20230630
PGG   ,EQY,PARTNERS GROUP GLOBAL INCOME FUND                           ,ORDINARY UNITS      ,1.71,20230630
QRI   ,EQY,QUALITAS REAL ESTATE INCOME FUND                            ,ORDINARY UNITS      ,1.485,20230630
RCT   ,EQY,REEF CASINO TRUST                                           ,UNITS               ,3.1,20230629
REP   ,EQY,RAM ESSENTIAL SERVICES PROPERTY FUND                        ,UNITS STAPLED       ,0.69,20230630
RF1   ,EQY,REGAL INVESTMENT FUND                                       ,ORDINARY UNITS      ,2.66,20230630
RFF   ,EQY,RURAL FUNDS GROUP                                           ,UNITS STAPLED       ,1.765,20230630
RGN   ,EQY,REGION GROUP                                                ,UNITS STAPLED       ,2.27,20230630
SCG   ,EQY,SCENTRE GROUP                                               ,FPO/UNITS STAPLED   ,2.65,20230630
SGP   ,EQY,STOCKLAND                                                   ,FPO/UNITS STAPLED   ,4.03,20230630
TCF   ,EQY,360 CAPITAL ENHANCED INCOME FUND                            ,UNITS               ,5.21,20230630
TCL   ,EQY,TRANSURBAN GROUP                                            ,FPO/UNITS STAPLED   ,14.25,20230630
TGP   ,EQY,360 CAPITAL GROUP                                           ,FPO/UNITS STAPLED   ,0.65,20230630
TOT   ,EQY,360 CAPITAL REIT                                            ,UNITS STAPLED       ,0.68,20230630
URF   ,EQY,US MASTERS RESIDENTIAL PROPERTY FUND                        ,ORDINARY UNITS      ,0.29,20230630
USQ   ,EQY,US STUDENT HOUSING REIT                                     ,ORDINARY UNITS      ,0.88,20230630
VCX   ,EQY,VICINITY CENTRES                                            ,FPO/UNITS STAPLED   ,1.845,20230630
WOT   ,EQY,WOTSO PROPERTY                                              ,FPO/UNITS STAPLED   ,1.14,20230628
WPR   ,EQY,WAYPOINT REIT                                               ,FPO/UNITS STAPLED   ,2.59,20230630
A200  ,EQY,BETASHARES AUSTRALIA 200 ETF,ETF UNITS           ,120.53,20230630
AAA   ,EQY,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF                ,ETF UNITS           ,50.23,20230630
ACDC  ,EQY,GLOBAL X BATTERY TECH & LITHIUM ETF,ETF UNITS           ,103.7,20230630
AESG  ,EQY,ISHARES GLOBAL AGGREGATE BOND ESG (AUD HEDGED) ETF,ETF UNITS           ,95.36,20230630
AGVT  ,EQY,BETASHARES AUSTRALIAN GOVERNMENT BOND ETF,ETF UNITS           ,41.57,20230630
AQLT  ,EQY,BETASHARES AUSTRALIAN QUALITY ETF,ETF UNITS           ,24.38,20230630
ASIA  ,EQY,BETASHARES ASIA TECHNOLOGY TIGERS ETF,ETF UNITS           ,7.26,20230630
ATEC  ,EQY,BETASHARES S&P/ASX AUSTRALIAN TECHNOLOGY ETF,ETF UNITS           ,18.84,20230630
ATOM  ,EQY,GLOBAL X URANIUM ETF,ETF UNITS           ,11,20230630
AUMF  ,EQY,ISHARES EDGE MSCI AUSTRALIA MULTIFACTOR ETF,ETF UNITS           ,29.98,20230630
AYLD  ,EQY,GLOBAL X S&P/ASX 200 COVERED CALL ETF,ETF UNITS           ,9.76,20230630
BEAR  ,EQY,BETASHARES AUSTRALIAN EQUITIES BEAR (HEDGE FUND),ETF UNITS           ,8.49,20230630
BGBL  ,EQY,BETASHARES GLOBAL SHARES ETF,ETF UNITS           ,53.46,20230630
BHYB  ,EQY,BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF,ETF UNITS           ,9.78,20230630
BILL  ,EQY,ISHARES CORE CASH ETF,ETF UNITS           ,100.6,20230630
BNDS  ,EQY,BETASHARES WESTN ASSET AUS BOND FUND (MANAGED FUND),ETF UNITS           ,23.32,20230630
BNKS  ,EQY,BETASHARES GLOBAL BANKS ETF - CURRENCY HEDGED,ETF UNITS           ,6.02,20230630
BOND  ,EQY,SPDR S&P/ASX AUSTRALIAN BOND FUND,ETF UNITS           ,23.99,20230630
CETF  ,EQY,VANECK FTSE CHINA A50 ETF,ETF UNITS           ,52.19,20230630
CLDD  ,EQY,BETASHARES CLOUD COMPUTING ETF,ETF UNITS           ,11.57,20230630
CLNE  ,EQY,VANECK GLOBAL CLEAN ENERGY ETF,ETF UNITS           ,8.56,20230630
CNEW  ,EQY,VANECK CHINA NEW ECONOMY ETF,ETF UNITS           ,7.2,20230630
CRED  ,EQY,BETASHARES AUSTRALIAN INVESTMENT GRADE CORPORATE BOND ETF,ETF UNITS           ,21.92,20230630
CRYP  ,EQY,BETASHARES CRYPTO INNOVATORS ETF,ETF UNITS           ,3.15,20230630
CURE  ,EQY,GLOBAL X S&P BIOTECH ETF,ETF UNITS           ,42.96,20230630
DBBF  ,EQY,BETASHARES ETHICAL DIVERSIFIED BALANCED ETF,ETF UNITS           ,23.58,20230630
DGGF  ,EQY,BETASHARES ETHICAL DIVERSIFIED GROWTH ETF,ETF UNITS           ,24.92,20230630
DHHF  ,EQY,BETASHARES DIVERSIFIED ALL GROWTH ETF,ETF UNITS           ,29.49,20230630
DJRE  ,EQY,SPDR DOW JONES GLOBAL REAL ESTATE ESG FUND,ETF UNITS           ,19.16,20230630
DRIV  ,EQY,BETASHARES ELECTRIC VEHICLES AND FTR MOBILITY ETF,ETF UNITS           ,9.35,20230630
DRUG  ,EQY,BETASHARES GLOBAL HEALTHCARE ETF - CURRENCY HEDGED,ETF UNITS           ,7.74,20230630
DVDY  ,EQY,VANECK MORNINGSTAR AUSTRALIAN MOAT INCOME ETF,ETF UNITS           ,21.19,20230630
DZZF  ,EQY,BETASHARES ETHICAL DIVERSIFIED HIGH GROWTH ETF,ETF UNITS           ,26.3,20230630
E200  ,EQY,SPDR S&P/ASX 200 ESG FUND,ETF UNITS           ,22.99,20230630
EDOC  ,EQY,BETASHARES DIGITAL HEALTH AND TELEMEDICINE ETF,ETF UNITS           ,10.74,20230629
EEU   ,EQY,BETASHARES EURO ETF                                         ,ETF UNITS           ,15.34,20230629
EMKT  ,EQY,VANECK MSCI MULTIFACTOR EM MARKETS EQUITY ETF,ETF UNITS           ,22.1,20230630
ERTH  ,EQY,BETASHARES CLIMATE CHANGE INNOVATION ETF,ETF UNITS           ,10.3,20230630
ESGI  ,EQY,VANECK MSCI INTERNATIONAL SUSTAINABLE EQUITY ETF,ETF UNITS           ,30.38,20230630
ESPO  ,EQY,VANECK VIDEO GAMING AND ESPORTS ETF,ETF UNITS           ,10.41,20230630
ESTX  ,EQY,GLOBAL X EURO STOXX 50 ETF,ETF UNITS           ,80.32,20230630
ETHI  ,EQY,BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF,ETF UNITS           ,12.71,20230630
EX20  ,EQY,BETASHARES AUSTRALIAN EX-20 PORTFOLIO DIVERSIFIER ETF,ETF UNITS           ,19.77,20230630
F100  ,EQY,BETASHARES FTSE 100 ETF,ETF UNITS           ,10.92,20230630
FAIR  ,EQY,BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF,ETF UNITS           ,18.4,20230630
FANG  ,EQY,GLOBAL X FANG+ ETF,ETF UNITS           ,18.78,20230630
FLOT  ,EQY,VANECK AUSTRALIAN FLOATING RATE ETF,ETF UNITS           ,24.85,20230630
FOOD  ,EQY,BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED,ETF UNITS           ,6.8,20230630
FUEL  ,EQY,BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED,ETF UNITS           ,5.91,20230630
GAME  ,EQY,BETASHARES VIDEO GAMES AND ESPORTS ETF,ETF UNITS           ,9.92,20230629
GBND  ,EQY,BETASHARES SUSTAINABILITY LEADERS DVRSFD BOND ETF - CUR HDG,ETF UNITS           ,20.66,20230630
GCO2  ,EQY,GLOBAL X GLOBAL CARBON ETF (SYNTHETIC),ETF UNITS           ,9.66,20230615
GDX   ,EQY,VANECK GOLD MINERS ETF                                      ,ETF UNITS           ,45.34,20230630
GEAR  ,EQY,BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND),ETF UNITS           ,24.49,20230630
GGOV  ,EQY,BETASHARES US TREASURY BOND 20+YR ETF - CCY HEDGED,ETF UNITS           ,15.51,20230630
